epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70235,1.78615,4.07669,1.55896,0.00427,0.575,0.0778,0.04964,0.95833,3.71097,1.04752,8.75e-05,8.75e-05,8.75e-05
2,5.0513,1.00699,3.41698,1.04543,0.0058,0.75,0.34968,0.29246,0.66131,3.22949,0.83644,0.000183787,0.000183787,0.000183787
3,6.60058,0.82256,2.35871,0.94195,0.00565,0.75,0.35508,0.25092,0.73434,3.12072,0.79794,0.000276115,0.000276115,0.000276115
4,8.19905,0.81312,1.85992,0.92662,0.0078,1,0.38912,0.23781,0.62916,2.8461,0.82522,0.000364482,0.000364482,0.000364482
5,9.81273,0.78575,1.6083,0.93516,1,0.16156,0.43998,0.33859,0.77641,2.65795,0.85154,0.00044889,0.00044889,0.00044889
6,11.4315,0.79371,1.45654,0.95698,0.82074,0.343,0.63552,0.49185,0.88596,2.14787,0.85348,0.000529338,0.000529338,0.000529338
7,13.0208,0.76019,1.24194,0.92437,0.84623,0.48244,0.73542,0.55145,0.58342,2.25974,0.80279,0.000605825,0.000605825,0.000605825
8,14.6935,0.74443,1.15962,0.92302,0.86164,0.5,0.86615,0.66897,0.86305,2.45457,0.84068,0.000678352,0.000678352,0.000678352
9,16.3942,0.69676,1.11305,0.91931,0.81883,0.5262,0.8576,0.66897,0.59775,2.39961,0.84202,0.00074692,0.00074692,0.00074692
10,18.0297,0.64096,1.03792,0.92029,0.86635,0.5,0.95846,0.72616,0.57782,2.17311,0.80353,0.000811528,0.000811528,0.000811528
11,19.5397,0.64373,0.9827,0.91326,0.85359,0.49454,0.96534,0.79557,0.62986,2.08351,0.8041,0.000872175,0.000872175,0.000872175
12,21.1336,0.69847,0.94345,0.89587,0.86871,0.71004,0.97,0.75739,0.67231,1.73042,0.83652,0.000928863,0.000928863,0.000928863
