epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54211,1.84943,6.16119,1.6871,0.00116,0.3125,0.00508,0.00147,2.8214,6.17169,2.0705,8.75e-05,8.75e-05,8.75e-05
2,4.78823,1.04531,2.8055,1.104,0.67232,0.9035,0.7413,0.51172,0.95605,3.59651,1.10249,0.000183787,0.000183787,0.000183787
3,7.05036,0.77508,1.95186,0.93786,0.80997,0.88726,0.94779,0.71247,0.85331,3.27916,1.07084,0.000276115,0.000276115,0.000276115
4,9.23272,0.63995,1.21677,0.90773,0.76886,0.82803,0.96278,0.82267,0.67335,2.02618,0.95849,0.000364482,0.000364482,0.000364482
5,11.3568,0.63301,1.03108,0.90458,0.86831,0.75,0.76348,0.63588,0.78431,1.64326,1.02683,0.00044889,0.00044889,0.00044889
6,13.4351,0.66346,0.94375,0.91996,0.87182,0.95974,0.995,0.81751,0.67968,1.01962,1.00007,0.000529338,0.000529338,0.000529338
7,15.5092,0.65922,0.80069,0.91832,0.75354,0.97891,0.90052,0.74036,0.80033,1.10226,1.07817,0.000605825,0.000605825,0.000605825
8,17.5484,0.61285,0.78034,0.91377,0.73094,0.76608,0.7535,0.63817,1.10489,0.94048,1.24326,0.000678352,0.000678352,0.000678352
9,19.5975,0.66189,0.71123,0.92132,0.49425,0.94375,0.75277,0.5805,0.90595,2.20613,1.33027,0.00074692,0.00074692,0.00074692
10,21.6247,0.60102,0.62754,0.90677,0.66105,0.89028,0.95942,0.65963,1.28433,1.13488,2.09354,0.000811528,0.000811528,0.000811528
11,23.6698,0.64373,0.65159,0.92026,0.61535,0.8463,0.88298,0.65259,0.97161,0.84022,1.17334,0.000872175,0.000872175,0.000872175
12,25.7083,0.7565,0.76901,0.9252,0.80777,0.99183,0.995,0.68481,1.09703,0.86632,1.25808,0.000928863,0.000928863,0.000928863
13,27.7139,0.67923,0.65169,0.91168,0.93158,0.75,0.995,0.82978,0.70062,1.22265,1.01497,0.000953,0.000953,0.000953
14,29.7876,0.70537,0.64039,0.92995,0.84758,0.83033,0.995,0.80161,0.85181,0.76494,1.129,0.00092825,0.00092825,0.00092825
15,31.8259,0.7043,0.70489,0.94247,0.72977,0.86001,0.85557,0.69664,0.97068,1.06193,1.15268,0.0009035,0.0009035,0.0009035
16,33.8695,0.59038,0.57143,0.91448,0.79321,0.89262,0.83146,0.69885,0.99653,1.11952,1.07228,0.00087875,0.00087875,0.00087875
17,35.9045,0.59365,0.59077,0.91096,0.96784,1,0.995,0.83265,0.62186,0.75342,1.00671,0.000854,0.000854,0.000854
18,37.9396,0.5905,0.52936,0.89804,0.95589,0.94758,0.99083,0.8393,0.6926,0.68918,1.06722,0.00082925,0.00082925,0.00082925
19,40.0363,0.54367,0.46987,0.90705,0.78403,1,0.995,0.86676,0.58216,0.62246,0.97414,0.0008045,0.0008045,0.0008045
